Armada Structure,Description,Tier,Type,BC,MC,EC,EP,MP,difference between armada and cortex,,,,CortexStructure,Description,Tier,Type,BC,MC,EC,EP,MP,Health
Citadel,Anti-Nuke System,2,Defense,60000,1500,38000,-88,-1,,,,,Hardened Metal Storage,Increases Metal Storage (10000),2,Building,20524,760,11000,0,0,11200
Mercury,Long Range Anti-Air Tower,2,Defense,28000,1600,33000,-137,0,,,,,Pinpointer,"Enhanced Radar Targeting, more facilities enhance accuracy",2,Building,10898,800,7500,-100,0,2000
Paralyzer,EMP Missile Launcher,2,Defense,79247,1600,29000,-256,-8,,,,,Hardened Energy Storage,Increases Energy Storage (40000),2,Building,20416,840,11000,0,0,12700
Rattlesnake,Cloakable Pop-up Plasma Artillery,2,Defense,27072,2500,17000,-24,0,,,,,Advanced Geothermal Powerplant,Produces 1250 Energy (Hazardous),2,Building,32078,1500,27000,1250,0,4150
Keeper,Plasma Deflector,2,Defense,55000,3000,54000,0,0,,,,,Advanced Exploiter,Armed Advanced Metal Extractor,2,Building,32500,2400,12000,,4 x metalspot,7800
Pulsar,Tachyon Accelerator,2,Defense,52071,3500,74000,-151,0,,,,,Cerberus,Geothermal Plasma Battery,2,Building,59640,3100,35000,,0,8300
Basilica,Long Range Plasma Cannon,2,Defense,85185,4500,64000,-378,0,,,,,Fusion Reactor,Produces 1100 Energy,2,Building,75424,4500,26000,1100,0,5000
Armageddon,Nuclear ICBM Launcher,2,Defense,178453,8100,90000,-1111,-8,,,,,Naval Fusion Reactor,Produces 1220 Energy,2,Building,,5400,34000,1220,0,5900
Ragnarok,Rapid-Fire Long-Range Plasma Cannon,2,Defense,1400000,63000,752000,-25000,0,,,,,Advanced Fusion Reactor,Produces 3000 Energy (Hazardous),2,Building,329243,9700,48000,3000,0,9400
Shipyard,Produces Tech 1 Ships,1,Factory,6655,600,1200,0,0,,,,,Fortification Wall,Advanced Fortification,2,Defense,900,40,500,0,0,8900
Bot Lab,Produces Tech 1 Bots,1,Factory,6500,650,1200,0,0,,,,,Scorpion,Pop-up Sabot Battery,2,Defense,15035,730,14000,,0,3000
Vehicle Plant,Produces Tech 1 Vehicles,1,Factory,7192,740,1800,0,0,,,,,Nemesis,Intrusion Countermeasure System - tracks down stealthy units,2,Defense,11955,750,6700,,0,2800
Aircraft Plant,Produces Tech 1 Aircraft,1,Factory,7240,860,1350,0,0,,,,,Birdshot,Anti-Air Flak Gun,2,Defense,20112,850,14000,0,0,1840
Hovercraft Platform,Builds Hovercraft,1,Factory,11000,900,3000,0,0,,,,,Prevailer,Anti-Nuke System,2,Defense,60000,1500,40000,,,3650
Naval Hovercraft Platform,Builds Hovercraft,1,Factory,11000,900,3000,0,0,,,,,Screamer,Long Range Anti-Air Tower,2,Defense,28000,1650,32000,,,1670
Seaplane Platform,Builds Seaplanes,1,Factory,12000,1450,5000,0,0,,,,,Persecutor,Pop-up Plasma Artillery,2,Defense,25717,2500,17000,,,4250
Advanced Bot Lab,Produces Tech 2 Bots,2,Factory,16224,2900,15000,0,0,,,,,Bulwark,Energy Weapon,2,Defense,55276,3000,37000,,,9400
Advanced Vehicle Plant,Produces Tech 2 Vehicles,2,Factory,17940,2900,14000,0,0,,,,,Overseer,Plasma Deflector,2,Defense,55000,3200,55000,,,3550
Advanced Aircraft Plant,Produces Tech 2 Aircraft,2,Factory,20851,3200,29000,0,0,,,,,Basilisk,Long Range Plasma Cannon,2,Defense,93237,4600,67000,,,4700
Experimental Gantry,Produces Experimental Units,3,Factory,61380,7900,58000,0,0,,,,,Apocalypse,Nuclear ICBM Launcher,2,Defense,181243,7700,82000,,,6200
,,,,,,,,,,,,,Calamity,Rapid-Fire Long-Range Plasma Cannon,2,Defense,1400000,61000,718000,,,33500
,,,,,,,,,,,,,Advanced Vehicle Plant,Produces Tech 2 Vehicles,2,Factory,18492,2800,16000,0,0,5100
,,,,,,,,,,,,,Advanced Bot Lab,Produces Tech 2 Bots,2,Factory,16819,2900,16000,0,0,4500
,,,,,,,,,,,,,Advanced Aircraft Plant,Produces Tech 2 Aircraft,2,Factory,20678,3200,28000,0,0,3900
,,,,,,,,,,,,,Naval Advanced Energy Converter,Converts 650 energy into 11 metal per sec,2,,,400,23500,-650,11,445
,,,,,,,,,,,,,Experimental Gantry,Produces Experimental Units,3,Factory,67321,8350,62500,0,0,17800
,,,,,,,,,,,,,SAM,Hardened Anti-Air Missle Battery,,Defense,5237,315,6100,,0,2800
,,,,,,,,,,,,,Warden,Heavy Laser Tower,,Defense,12650,480,4700,,0,2750
,,,,,,,,,,,,,Coral,Floating Heavy Laser Tower,,Defense,,480,6200,,,4350
,,,,,,,,,,,,,Janitor,Floating Anti-Air Missile Battery,,,,480,2400,,,1420
,,,,,,,,,,,,,Naval Birdshot,Anti-Air Flak Gun - Naval Series,,,,890,25000,,,2000
,,,,,,,,,,,,,Lamprey,Advanced Torpedo Launcher,,,,1050,8500,,,2800
,,,,,,,,,,,,,Catalyst,Tactical Missile Launcher,,,58927,1200,14000,,,3550
,,,,,,,,,,,,,Devastator,Floating Multi-Weapon Platform,,,,1200,15000,,,6700
,,,,,,,,,,,,,Amphibious Complex,Produces Amphibious/Underwater Units,,,,1200,5600,,,2800
,,,,,,,,,,,,,Advanced Shipyard,Produces Tech 2 Ships,,,,3100,10000,,,5900
,,,,,,,,,,,,,Experimental Gantry 2,Produces Experimental Units,,,,8400,62000,,,17800
