Faction,Type,Tier,Name,Description/Abilities,PreRequisite,Role,BuildCost,MetalCost,EnergyCost,EnergyProduced,MetalProduced,BuildPower
Armada,Hover,1,Seeker,Fast Attack Hovercraft,Hovercraft Platform,,1,85,1250,0,0,
Armada,Hover,1,Possum,Hovercraft Rocket Launcher,Hovercraft Platform,,1,175,3000,0,0,
Armada,Hover,1,Construction Hovercraft,Tech 1 Constructor,Hovercraft Platform,,1,200,2700,11,0,
Armada,Hover,1,Sweeper,Anti-air Hovercraft,Hovercraft Platform,,1,230,4500,0,0,
Armada,Hover,1,Crocodile,Hovertank,Hovercraft Platform,,1,290,2600,0,0,
Armada,Bot,2,Tumbleweed,Crawling Bomb,Advanced Bot Lab,,7901,65,5800,0,0,
Armada,Bot,2,Smuggler,Radar Jammer Bot,Advanced Bot Lab,,4937,78,1400,0,0,
Armada,Bot,2,Compass,Radar Bot,Advanced Bot Lab,,3800,100,1250,0,0,
Armada,Bot,2,Ghost,Spy Bot; Cloak Stealth,Advanced Bot Lab,,17631,135,8800,0,0,
Armada,Bot,2,Sprinter,Fast Raider Bot,Advanced Bot Lab,,3960,190,4600,0,0,
Armada,Bot,2,Butler,Fast Assist/Repair Bot,Advanced Bot Lab,,4302,210,3000,0,0,
Armada,Bot,2,Webber,"All-Terrain EMP Spider; Stealth, EMP, Reclaim",Advanced Bot Lab,,5090,250,5000,0,0,
Armada,Bot,2,Platypus,Amphibius Bot,Advanced Bot Lab,,5182,260,2700,0,0,
Armada,Bot,2,Hound,Mortar Bot,Advanced Bot Lab,,6232,300,6300,0,0,
Armada,Bot,2,Welder,Assault Bot,Advanced Bot Lab,,7252,350,6100,0,0,
Armada,Bot,2,Recluse,All-Terrain Rocket Spider,Advanced Bot Lab,,8775,400,4500,0,0,
Armada,Bot,2,Advanced Construction Bot,Constructor,Advanced Bot Lab,,9500,430,6900,14,0,
Armada,Bot,2,Archangel,Advanced Anti-Air Bot,Advanced Bot Lab,,6958,520,5600,0,0,
Armada,Bot,2,Gunslinger,"Skirmish Bot; Auto-Repair, Fast Learning",Advanced Bot Lab,,17000,650,11000,0,0,
Armada,Bot,2,Sharpshooter,Sniper Bot; Cloak,Advanced Bot Lab,,19137,680,20000,0,0,
Armada,Bot,2,Decoy Commander,"Fake Commander Unit; Cloak, Capture",Advanced Bot Lab,,24048,770,12000,0,0,
Armada,Bot,2,Umbrella,Mobile Anti-Nuke,Advanced Bot Lab,,40000,1150,30000,0,0,
Armada,Bot,2,Fatboy,Heavy Plasma Bot,Advanced Bot Lab,,21000,1400,11000,0,0,
Armada,Vehicle,2,Umbra,Radar Jammer Vehicle,Advanced Vehicle Plant,,5933,105,1700,0,0,
Armada,Vehicle,2,Prophet,Radar Vehicle,Advanced Vehicle Plant,,6186,125,2000,0,0,
Armada,Vehicle,2,Gremlin,Stealth Tank; Cloak,Advanced Vehicle Plant,,6704,230,3700,0,0,
Armada,Vehicle,2,Consul,Combat Engineer,Advanced Vehicle Plant,,6793,250,4300,0,0,
Armada,Vehicle,2,Mauser,Heavy Artillery,Advanced Vehicle Plant,,5530,270,4100,0,0,
Armada,Vehicle,2,Jaguar,Lightning Tank,Advanced Vehicle Plant,,6027,330,6400,0,0,
Armada,Vehicle,2,Shredder,Anti-Air Flak Vehicle,Advanced Vehicle Plant,,9964,450,9100,0,0,
Armada,Vehicle,2,Advanced Construction Vehicle,Constructor,Advanced Vehicle Plant,,12397,550,6800,20,0,
Armada,Vehicle,2,Turtle,Heavy Amphibius Tank,Advanced Vehicle Plant,,16000,750,18000,0,0,
Armada,Vehicle,2,Ambassador,Stealthy Rocket Launcher,Advanced Vehicle Plant,,15500,920,6500,0,0,
Armada,Vehicle,2,Bull,Heavy Assault Tank,Advanced Vehicle Plant,,17228,950,13000,0,0,
Armada,Vehicle,2,Starlight,Mobile Tachyon Accelerator,Advanced Vehicle Plant,,25706,1200,13500,0,0,
Armada,Air,2,Highwind,Stealth Fighter; Stealth,Advanced Aircraft Plant,,1,120,4900,0,0,
Armada,Air,2,Oracle,Radar/Sonar Plane; Radar,Advanced Aircraft Plant,,1,175,8600,0,0,
Armada,Air,2,Blizzard,Strategic Bomber,Advanced Aircraft Plant,,1,230,12500,0,0,
Armada,Air,2,Stiletto,EMP Bomber; Stealth,Advanced Aircraft Plant,,1,230,19000,0,0,
Armada,Air,2,Roughneck,Gunship,Advanced Aircraft Plant,,1,310,6200,0,0,
Armada,Air,2,Abductor,"Stealthy Armed Heavy Transport; Stealth, Transport",Advanced Aircraft Plant,,1,320,6600,0,0,
Armada,Air,2,Advanced Construction Aircraft,Tech 2 Constructor,Advanced Aircraft Plant,,1,340,12000,10,0,
Armada,Air,2,Cormorant,Torpedo Bomber,Advanced Aircraft Plant,,1,400,8000,0,0,
Armada,Air,2,Hornet,Rapid Assault Gunship,Advanced Aircraft Plant,,1,1250,22000,0,0,
Armada,Air,2,Liche,Atomic Bomber,Advanced Aircraft Plant,,1,2200,46000,0,0,
Armada,Sea,2,Bermuda,Radar Jammer Ship; Jammer,Advanced Shipyard,,1,110,1600,0,0,
Armada,Sea,2,Voyager,Naval Engineer,Advanced Shipyard,,1,190,3200,0,0,
Armada,Sea,2,Advanced Construction Sub,Tech 2 Construction Sub,Advanced Shipyard,,1,700,9000,0,0,
Armada,Sea,2,Barracuda,Fast Assault Submarine,Advanced Shipyard,,1,950,17000,0,0,
Armada,Sea,2,Dragonslayer,Anti-Air Ship,Advanced Shipyard,,1,1000,12000,0,0,
Armada,Sea,2,Paladin,Cruiser,Advanced Shipyard,,1,1000,12000,0,0,
Armada,Sea,2,Haven,"Aircraft Carrier with Anti-Nuke; Radar, Airbase",Advanced Shipyard,,1,1400,12000,0,0,
Armada,Sea,2,Serpent,Long-Range Battle Submarine; Stealth,Advanced Shipyard,,1,1800,27000,0,0,
Armada,Sea,2,Longbow,Missile Cruiser; Radar,Advanced Shipyard,,1,2000,10000,0,0,
Armada,Sea,2,Dreadnaught,Battleship,Advanced Shipyard,,1,3300,22000,0,0,
Armada,Sea,2,Epoch,Flagship; Radar,Advanced Shipyard,,1,17000,158000,0,0,
Armada,Bot,3,Marauder,Assault Mech,Experimental Gantry,,26061,970,21000,0,0,
Armada,Bot,3,Vangaurd,All-Terrain Heavy Plasma Cannon,Experimental Gantry,,91096,3300,71000,0,0,
Armada,Bot,3,Razorback,Battle Mech,Experimental Gantry,,88566,3800,68000,0,0,
Armada,Bot,3,Titan,Advanced Assault Mech,Experimental Gantry,,276000,13500,286000,0,0,
Armada,Hover,3,Lunkhead,Heavy Hovertank,Experimental Gantry,,32000,1150,23000,0,0,
Armada,Vehicle,3,Thor,Experimental Terminator Tank,Experimental Gantry,,250000,9000,240000,0,0,
Cortex,Bot,1,Grunt,Fast infantry bot,Bot Lab,,1279,36,880,0,0,
Cortex,Bot,1,Graverobber,stealthy rez/reclaim,Bot Lab,,2400,110,1400,0,0,200
Cortex,Bot,1,Aggravator,Rocket bot,Bot Lab,,1949,110,1150,0,0,
Cortex,Bot,1,Construction Bot,Tech 1 constructor,Bot Lab,,3551,120,1750,7,0,85
Cortex,Bot,1,Trasher,Amphibious Anti-Air,Bot Lab,,1900,125,1100,0,0,
Cortex,Bot,1,Thug,Light Plasma Bot,Bot Lab,,1971,140,1150,0,0,
Cortex,Bot,0,Cortex Commander,Commander, ,,1,1250,26000,30,2,
Cortex,Bot,2,Bedbug,Amphibious crawling bomb,Advanced Bot Lab,,7899,69,5800,0,0,
Cortex,Bot,2,Deceiver,Radar Jammer Bot,Advanced Bot Lab,,5439,75,1550,0,0,
Cortex,Bot,2,Augur,Radar Bot,Advanced Bot Lab,,3945,99,1350,0,0,
Cortex,Bot,2,Spectre,Spy Bot,Advanced Bot Lab,,22247,165,12500,0,0,
Cortex,Bot,2,Fiend,Fast Assault Bot,Advanced Bot Lab,,5027,200,3000,0,0,
Cortex,Bot,2,Twitcher,Combat Engineer,Advanced Bot Lab,,6488,210,3800,0,0,
Cortex,Bot,2,Duck,Amphibious Bot,Advanced Bot Lab,,9650,330,9500,0,0,
Cortex,Bot,2,Sheldon,Mobile Mortar Bot,Advanced Bot Lab,,5139,410,2200,0,0,
Cortex,Bot,2,Advanced Construction Bot,Tech 2 constructor,Advanced Bot Lab,,9700,470,6900,14,0,
Cortex,Bot,2,Skuttle,Adv. Amphibious crawling bomb,Advanced Bot Lab,,16975,540,26000,0,0,
Cortex,Bot,2,Sumo,Armored Assault Bot,Advanced Bot Lab,,11734,560,9300,0,0,
Cortex,Bot,2,Arbiter,Heavy Rocket Bot,Advanced Bot Lab,,6600,600,5800,0,0,
Cortex,Bot,2,Manticore,Heavy Amphibious Anti-Air Bot,Advanced Bot Lab,,7600,650,6200,0,0,
Cortex,Bot,2,Termite,Heavy All-terrain assault spider,Advanced Bot Lab,,18834,700,12000,0,0,
Cortex,Bot,2,Commander,Decoy Commander,Advanced Bot Lab,,26941,750,13000,0,0,
Cortex,Bot,2,Commando,Stealthy paratrooper bot,Advanced Bot Lab,,17131,1200,15500,0,0,
Cortex,Bot,2,Mammoth,Heavy Armored Assault Bot,Advanced Bot Lab,,50975,2200,35000,0,0,
Cortex,Bot,3,Shiva,Amphibious Siege Mech,Experimental Gantry,,30609,1550,23000,0,0,
Cortex,Bot,3,Karganeth,All-Terrain Assault Mech,Experimental Gantry,,50609,1650,38000,0,0,
Cortex,Bot,3,Catapult,Heavy Rocket Bot,Experimental Gantry,,127000,4900,80000,0,0,
Cortex,Bot,3,Behemoth,Mobile Heavy Turret,Experimental Gantry,,630000,20000,513000,0,0,
Cortex,Bot,3,Juggernaut,Experimental Assault Bot,Experimental Gantry,,555000,29000,615000,0,0,
Cortex,Vehicle,1,Rascal,Light scout vehicle,Vehicle Plant,,1150,26,270,0,0,
Cortex,Vehicle,1,Trapper,Stealthy minelayer/minesweeper,Vehicle Plant,,3640,61,1300,0,0,
Cortex,Vehicle,1,Incisor,Light Tank,Vehicle Plant,,1761,118,1042,0,0,
Cortex,Vehicle,1,Construction Vehicle,Tech 1 constructor,Vehicle Plant,,4160,145,2100,10,95,
Cortex,Vehicle,1,Lasher,Missile Truck,Vehicle Plant,,3435,155,2400,0,0,
Cortex,Vehicle,1,Wolverine,Light Mobile Artillery,Vehicle Plant,,3254,155,2300,0,0,
Cortex,Vehicle,1,Muskrat,Amphibious Construction Vehicle,Vehicle Plant,,6864,170,3500,0,0,
Cortex,Vehicle,1,Garpike,Light Amphibious Tank,Vehicle Plant,,3101,220,2600,0,0,
Cortex,Vehicle,1,Pounder,Riot Tank,Vehicle Plant,,3009,220,2600,0,0,
Cortex,Vehicle,1,Brute,Medium Assault Tank,Vehicle Plant,,3312,235,2400,0,0,
Cortex,Vehicle,2,Omen,Radar vehicle,Advanced Vehicle Plant,,4223,92,1300,0,0,
Cortex,Vehicle,2,Obscurer,Radar Jammer Vehicle,Advanced Vehicle Plant,,6404,105,1900,0,0,
Cortex,Vehicle,2,Quaker,Mobile Artillery,Advanced Vehicle Plant,,4270,280,3300,0,0,
Cortex,Vehicle,2,Fury,Anti-Air Flak vehicle,Advanced Vehicle Plant,,11986,470,10500,0,0,
Cortex,Vehicle,2,Alligator,Medium Amphibious Tank,Advanced Vehicle Plant,,12051,480,9100,0,0,
Cortex,Vehicle,2,Advanced Construction Vehicle,MetalProduced,Advanced Vehicle Plant,,12882,580,7000,20,0,
Cortex,Vehicle,2,Tiger,Heavy Assault Tank,Advanced Vehicle Plant,,11501,665,10000,0,0,
Cortex,Vehicle,2,Negotiator,Stealthy Rocke Launcher,Advanced Vehicle Plant,,15002,880,6700,0,0,
Cortex,Vehicle,2,Banisher,Heavy Missile Tank,Advanced Vehicle Plant,,23129,1000,23000,0,0,
Cortex,Vehicle,2,Poison Arrow,Very Heavy Amphibious Tank,Advanced Vehicle Plant,,22181,1050,29000,0,0,
Cortex,Vehicle,2,Saviour,Mobile Anti-Nuke,Advanced Vehicle Plant,,42000,1250,32000,0,0,
Cortex,Vehicle,2,Tzar,Very Heavy Assault Tank,Advanced Vehicle Plant,,26125,1650,22000,0,0,
Cortex,Vehicle,2,Tremor,Heavy Artillery Vehicle,Advanced Vehicle Plant,,31100,1850,49000,0,0,
Cortex,Air,1,Finch,Scout plane,Aircraft Plant,,2400,51,1450,0,0,
Cortex,Air,1,Shuriken,Light Paralyzer Drone,Aircraft Plant,,2073,58,1300,0,0,
Cortex,Air,1,Valiant,Fighter,Aircraft Plant,,3333,73,2800,0,0,
Cortex,Air,1,Hercules,Air Transport,Aircraft Plant,,4122,74,1450,0,0,
Cortex,Air,1,Bat,Seaplane Swarmer,Seaplane Platform,,1,90,4600,0,0,
Cortex,Air,1,Construction Aircraft,Tech 1 constructor,Aircraft Plant,,8357,115,3200,5,0,
Cortex,Air,1,Watcher,Advanced Radar/Sonar Plane,Seaplane Platform,,1,130,6900,0,0,
Cortex,Air,1,Construction Seaplane,Tech 1 constructor,Seaplane Platform,,1,140,8200,5,0,
Cortex,Air,1,Whirlwind,Bomber,Aircraft Plant,,5054,150,4600,0,0,
Cortex,Air,1,Dam Buster,Seaplane Bomber,Seaplane Platform,,1,200,8200,0,0,
Cortex,Air,1,Cutlass,Seaplane Gunship,Seaplane Platform,,1,230,5400,0,0,
Cortex,Air,1,Monsoon,Torpedo Gunship,Seaplane Platform,,1,230,5500,0,0,
Cortex,Air,2,Nighthawk,Stealth Fighter,Advanced Aircraft Plant,,6554,105,3700,0,0,
Cortex,Air,2,Condor,Radar/Sonar Plane,Advanced Aircraft Plant,,13264,180,8300,0,0,
Cortex,Air,2,Hailstorm,Heavy Strategic Bomber,Advanced Aircraft Plant,,31000,310,18500,0,0,
Cortex,Air,2,Advanced Construction Aircraft,Tech 2 constructor,Advanced Aircraft Plant,,18001,360,6800,10,0,
Cortex,Air,2,Wasp,Gunship,Advanced Aircraft Plant,,14500,370,6800,0,0,
Cortex,Air,2,Skyhook,Assault Heavy Transport,Advanced Aircraft Plant,,15289,370,6400,0,0,
Cortex,Air,2,Angler,Torpedo Bomber,Advanced Aircraft Plant,,14722,410,8200,0,0,
Cortex,Air,2,Dragon,Flying Fortress,Advanced Aircraft Plant,,84229,5100,72000,0,0,
Cortex,Sea,1,Supporter,Light Gunboat,Shipyard,,1,100,1000,0,0,
Cortex,Sea,1,Construction Ship,Tech 1 constructor,Shipyard,,1,200,2000,7,0,
Cortex,Sea,1,Death Cavalry,Ressurection Sub,Shipyard,,1,200,3200,0,0,
Cortex,Sea,1,Herring,Missile Corvette/Light Anti Air/Sonar,Shipyard,,1,230,1600,0,0,
Cortex,Sea,1,Riptide,Assault Frigate,Shipyard,,1,410,2700,0,0,
Cortex,Sea,1,Orca,Submarine,Shipyard,,1,580,4000,0,0,
Cortex,Sea,1,Oppressor,Destroyer,Shipyard,,1,960,7200,0,0,
Cortex,Sea,2,Phantasm,Radar Jammer Ship,Advanced Shipyard,,1,120,1800,0,0,
Cortex,Sea,2,Pathfinder,Naval Engineer,Advanced Shipyard,,1,200,3300,0,0,
Cortex,Sea,2,Advanced Construction Ship,Tech 2 constructor,Advanced Shipyard,,1,700,9000,14,0,
Cortex,Sea,2,Predator,Fast Assault Submarine,Advanced Shipyard,,1,730,14000,0,0,
Cortex,Sea,2,Arrow Storm,Anti-Air Ship,Advanced Shipyard,,1,1000,12000,0,0,
Cortex,Sea,2,Buccaneer,Cruiser,Advanced Shipyard,,1,1000,12000,0,0,
Cortex,Sea,2,Oasis,Aircraft Carrier,Advanced Shipyard,,1,1400,17000,0,0,
Cortex,Sea,2,Kraken,Long Range Battle Submarine,Advanced Shipyard,,1,1900,29000,0,0,
Cortex,Sea,2,Messenger,Cruise Missile Ship,Advanced Shipyard,,1,2000,10000,0,0,
Cortex,Sea,2,Despot,Battleship,Advanced Shipyard,,1,3400,23000,0,0,
Cortex,Sea,2,Black Hydra,Flagship,Advanced Shipyard,,1,18000,158000,0,0,
Cortex,Hover,1,Goon,Fash Attack Hovercraft,Hovercraft Platform,,1500,75,1500,0,0,
Cortex,Hover,1,Construction Hovercraft,Tech 1 constructor,Hovercraft Platform,,4576,190,3000,11,0,
Cortex,Hover,1,Mangonel,Hovercraft Rocket Launcher,Hovercraft Platform,,3500,200,3300,0,0,
Cortex,Hover,1,Birdeater,Anti-Air Hovercraft,Hovercraft Platform,,3650,250,4700,0,0,
Cortex,Hover,1,Cayman,Hovertank,Hovercraft Platform,,3791,320,3300,0,0,
Cortex,Hover,1,Halberd,Assault Hovertank,Hovercraft Platform,,12907,640,13000,0,0,
Cortex,Hover,3,Cataphract,Heavy Laser Hovertank,Experimental Gantry,,27000,950,19000,0,0,
Faction,Type,Tier,Name,Description,PreRequisite,,BC,MC,EC,EP,MP,
Armada,Building,1,Energy Converter,Converts 70 energy into 1 metal per sec,Commander,,2605,1,1150,-70,1,
Armada,Building,1,Naval Energy Converter,Converts 70 energy into 1.1 metal per sec,Commander,,2958,1,2500,-70,1.1,
Armada,Building,1,Beholder,Perimeter Camera,Commander,,750,32,850,-13,0,
Armada,Building,1,Wind Turbine,Produces Energy. Depends on wind strength.,Commander,,1600,40,175,wind speed,0,
Armada,Building,1,Metal Extractor,Extracts Metal from Metalspots,Commander,,1800,50,500,-3,metalspot,
Armada,Building,1,Tidal Generator,Produces Energy (depends on map),Commander,,2188,90,250,map,0,
Armada,Building,1,Naval Radar/Sonar Tower,Early Warning System,Commander,,1800,130,1000,0,0,
Armada,Building,1,Solar Collector,Produces 20 Energy,Commander,,2800,155,0,20,0,
Armada,Building,1,Energy Storage,Increases Energy Storage (6000),Commander,,4119,170,1700,0,0,
Armada,Building,1,Twilight,Stealthy Cloakable Metal Extractor,T1 Worker,,1800,200,1500,-15,metalspot,
Armada,Building,1,Construction Turret,Assist & Repair in large radius. Transportable,T1 Worker,,5312,210,3200,0,0,
Armada,Building,1,Sneaky Pete,Cloakable Jammer Tower,T1 Worker,,9955,240,8500,-65,0,
Armada,Building,1,Naval Energy Storage,Increases Energy Storage (6000),T1 Worker,,7085,300,2600,0,0,
Armada,Building,1,Metal Storage,Increases Metal Storage (3000),Commander,,2925,330,570,0,0,
Armada,Building,1,Advanced Solar Collector,Produces 75 Energy,T1 Worker,,7950,350,5000,80,0,
Armada,Building,1,Naval Metal Storage,Increases Metal Storage (3000),T1 Worker,,3741,400,1200,0,0,
Armada,Building,1,Geothermal Powerplant,Produces 300 Energy,T1 Worker,,13708,560,13000,300,0,
Armada,Building,2,Radar Tower,Early Warning System. Transportable (Heavy),T2 Worker,,1137,60,630,0,0,
Armada,Building,2,Veil,Long-Range Jamming Tower,T2 Worker,,9080,125,19000,-125,0,
Armada,Building,2,Decoy Fusion Reactor,"Does not produce Energy, used to confuse the enemy",T2 Worker,,7500,370,100,0,0,
Armada,Building,2,Advanced Energy Converter,Converts 600 energy into 10.3 metal per sec,T2 Worker,,34980,380,21000,-600,10.3,
Armada,Building,2,Air Repair Pad,Automatically Repairs Aircraft,T2 Worker,,9090,400,4300,0,0,
Armada,Building,2,Advanced Radar Tower,Long-Range Radar,T2 Worker,,11800,560,19000,0,0,
Armada,Building,2,Advanced Metal Extractor,Advanced Metal Extractor/Storage,T2 Worker,,14938,620,7700,-20,4 x metalspot,
Armada,Building,2,Hardened Metal Storage,Increases Metal Storage (10000),T2 Worker,,20391,750,11500,0,0,
Armada,Building,2,Pinpointer,"Enhanced Radar Targeting, more facilities enhance accuracy",T2 Worker,,8707,810,7200,-100,0,
Armada,Building,2,Hardened Energy Storage,Increases Energy Storage (40000),T2 Worker,,20302,830,10000,0,0,
Armada,Building,2,Prude,"Safe Geothermal Powerplant, produces 750 Energy",T2 Worker,,41347,1150,25000,750,0,
Armada,Building,2,Advanced Geothermal Powerplant,Produces 1250 Energy (Hazardous),T2 Worker,,33152,1600,27000,1250,0,
Armada,Building,2,Fusion Reactor,Produces 1000 Energy,T2 Worker,,70014,4300,21000,1000,0,
Armada,Building,2,Cloakable Fusion Reactor,Produces 1050 Energy,T2 Worker,,84389,4700,26000,1000,0,
Armada,Building,2,Naval Fusion Reactor,Produces 1200 Energy,T2 Worker,,1,5200,33500,1200,0,
Armada,Building,2,Advanced Fusion Reactor,Produces 3000 Energy (Hazardous),T2 Worker,,312498,9700,69000,3000,0,
Armada,Defense,1,Dragon's Teeth,Fortification,Commander,,255,8,0,0,0,
Armada,Defense,1,Shark's Teeth,Naval Fortification,Commander,,370,15,0,0,0,
Armada,Defense,1,Nettle,Light Anti-air Tower. Transportable (Heavy),Commander,,1800,80,900,0,0,
Armada,Defense,1,Sentry,Light Laser Tower. Transportable (Heavy),Commander,,2662,85,680,-42,0,
Armada,Defense,1,Naval Nettle,Floating Anti-air Tower,Commander,,2200,90,1000,0,0,
Armada,Defense,1,Harpoon,Offshore Torpedo Launcher,Commander,,3700,170,1500,0,0,
Armada,Defense,1,Beamer,Beam Laser Turret. Transportable (Heavy),T1 Worker,,5324,190,1500,-60,0,
Armada,Defense,1,Anemone,Coastal Torpedo Launcher,T1 Worker,,6600,240,2200,0,0,
Armada,Defense,1,Dragon's Claw,Pop-up Lightning Turret,T1 Worker,,4638,340,1600,0,0,
Armada,Defense,1,Ferret,Pop-Up Anti-Air Missile Battery,T1 Worker,,5810,360,5700,-12,0,
Armada,Defense,1,Overwatch,Heavy Laser Tower,T1 Worker,,12500,440,4700,-41,0,
Armada,Defense,1,Juno,Anti Radar/Jammer/Minefield/ScoutSpam Weapon,T1 Worker,,21833,640,17000,-160,-2.7,
Armada,Defense,1,Chainsaw,Bomb-Resistant Medium-Range Anti-Air Missile Battery,T1 Worker,,12000,750,7300,0,0,
Armada,Defense,1,Gauntlet,Medium Plasma Artillery,T1 Worker,,21377,1250,12500,0,0,
Armada,Defense,2,Fortification Wall,Advanced Fortification,T2 Worker,,900,40,500,0,0,
Armada,Defense,2,Pit Bull,Pop-up Gauss Cannon,T2 Worker,,14961,680,14000,-16,0,
Armada,Defense,2,Tracer,Intrusion Countermeasure System - tracks down stealthy units,T2 Worker,,11877,710,7100,-125,0,
Armada,Defense,2,Arbalest,Anti-Air Flak Gun,T2 Worker,,19005,820,13000,0,0,
Armada,Defense,2,Citadel,Anti-Nuke System,T2 Worker,,60000,1500,38000,-88,-1,
Armada,Defense,2,Mercury,Long Range Anti-Air Tower,T2 Worker,,28000,1600,33000,-137,0,
Armada,Defense,2,Paralyzer,EMP Missile Launcher,T2 Worker,,79247,1600,29000,-256,-8,
Armada,Defense,2,Rattlesnake,Cloakable Pop-up Plasma Artillery,T2 Worker,,27072,2500,17000,-24,0,
Armada,Defense,2,Keeper,Plasma Deflector,T2 Worker,,55000,3000,54000,0,0,
Armada,Defense,2,Pulsar,Tachyon Accelerator,T2 Worker,,52071,3500,74000,-151,0,
Armada,Defense,2,Basilica,Long Range Plasma Cannon,T2 Worker,,85185,4500,64000,-378,0,
Armada,Defense,2,Armageddon,Nuclear ICBM Launcher,T2 Worker,,178453,8100,90000,-1111,-8,
Armada,Defense,2,Ragnarok,Rapid-Fire Long-Range Plasma Cannon,T2 Worker,,1400000,63000,752000,-25000,0,
Armada,Factory,1,Shipyard,Produces Tech 1 Ships,Commander,,6655,600,1200,0,0,150
Armada,Factory,1,Bot Lab,Produces Tech 1 Bots,Commander,,6500,650,1200,0,0,150
Armada,Factory,1,Vehicle Plant,Produces Tech 1 Vehicles,Commander,,7192,740,1800,0,0,150
Armada,Factory,1,Aircraft Plant,Produces Tech 1 Aircraft,Commander,,7240,860,1350,0,0,150
Armada,Factory,1,Hovercraft Platform,Builds Hovercraft,Commander,,11000,900,3000,0,0,150
Armada,Factory,1,Naval Hovercraft Platform,Builds Hovercraft,Commander,,11000,900,3000,0,0,150
